date,area,n,strike_label,k,K,price_per_1,source
2016-08-31,EU,1,S3,0.03,1.03,0.001,cap
2016-08-31,EU,1,S4,0.04,1.04,0.0001,cap
2016-08-31,EU,1,S5,0.05,1.05,0.0,cap
2016-09-30,EU,1,S2,0.02,1.02,0.031400000000000004,cap
2016-09-30,EU,1,S3,0.03,1.03,0.002,cap
2016-09-30,EU,1,S4,0.04,1.04,0.0002,cap
2016-09-30,EU,1,S5,0.05,1.05,0.0,cap
2016-10-31,EU,1,S2,0.02,1.02,0.037000000000000005,cap
2016-10-31,EU,1,S3,0.03,1.03,0.003,cap
2016-10-31,EU,1,S4,0.04,1.04,0.0003,cap
2016-10-31,EU,1,S5,0.05,1.05,0.0001,cap
2016-11-30,EU,1,S2,0.02,1.02,0.044000000000000004,cap
2016-11-30,EU,1,S3,0.03,1.03,0.004,cap
2016-11-30,EU,1,S4,0.04,1.04,0.0003,cap
2016-11-30,EU,1,S5,0.05,1.05,0.0001,cap
2016-12-30,EU,1,S2,0.02,1.02,0.055099999999999996,cap
2016-12-30,EU,1,S3,0.03,1.03,0.005,cap
2016-12-30,EU,1,S4,0.04,1.04,0.0006,cap
2016-12-30,EU,1,S5,0.05,1.05,0.0001,cap
2017-01-31,EU,1,S2,0.02,1.02,0.0797,cap
2017-01-31,EU,1,S3,0.03,1.03,0.011899999999999999,cap
2017-01-31,EU,1,S4,0.04,1.04,0.001,cap
2017-01-31,EU,1,S5,0.05,1.05,0.0001,cap
2017-02-28,EU,1,S2,0.02,1.02,0.11900000000000001,cap
2017-02-28,EU,1,S3,0.03,1.03,0.013000000000000001,cap
2017-02-28,EU,1,S4,0.04,1.04,0.001,cap
2017-02-28,EU,1,S5,0.05,1.05,0.0002,cap
2017-03-31,EU,1,S2,0.02,1.02,0.03,cap
2017-03-31,EU,1,S3,0.03,1.03,0.002,cap
2017-03-31,EU,1,S4,0.04,1.04,0.0004,cap
2017-03-31,EU,1,S5,0.05,1.05,0.0001,cap
2017-04-28,EU,1,S2,0.02,1.02,0.0292,cap
2017-04-28,EU,1,S3,0.03,1.03,0.003,cap
2017-04-28,EU,1,S4,0.04,1.04,0.0004,cap
2017-04-28,EU,1,S5,0.05,1.05,0.0001,cap
2017-05-31,EU,1,S2,0.02,1.02,0.025099999999999997,cap
2017-05-31,EU,1,S3,0.03,1.03,0.0026,cap
2017-05-31,EU,1,S4,0.04,1.04,0.0004,cap
2017-05-31,EU,1,S5,0.05,1.05,0.0001,cap
2017-06-30,EU,1,S2,0.02,1.02,0.042199999999999994,cap
2017-06-30,EU,1,S3,0.03,1.03,0.005,cap
2017-06-30,EU,1,S4,0.04,1.04,0.0005,cap
2017-06-30,EU,1,S5,0.05,1.05,0.0001,cap
2017-07-31,EU,1,S2,0.02,1.02,0.055,cap
2017-07-31,EU,1,S3,0.03,1.03,0.005,cap
2017-07-31,EU,1,S4,0.04,1.04,0.0006,cap
2017-07-31,EU,1,S5,0.05,1.05,0.0001,cap
2017-08-31,EU,1,S2,0.02,1.02,0.0555,cap
2017-08-31,EU,1,S3,0.03,1.03,0.006500000000000001,cap
2017-08-31,EU,1,S4,0.04,1.04,0.001,cap
2017-08-31,EU,1,S5,0.05,1.05,0.0002,cap
2017-09-29,EU,1,S2,0.02,1.02,0.0748,cap
2017-09-29,EU,1,S3,0.03,1.03,0.0087,cap
2017-09-29,EU,1,S4,0.04,1.04,0.0013,cap
2017-09-29,EU,1,S5,0.05,1.05,0.0002,cap
2017-10-31,EU,1,S2,0.02,1.02,0.078,cap
2017-10-31,EU,1,S3,0.03,1.03,0.006999999999999999,cap
2017-10-31,EU,1,S4,0.04,1.04,0.001,cap
2017-10-31,EU,1,S5,0.05,1.05,0.0002,cap
2017-11-30,EU,1,S2,0.02,1.02,0.09699999999999999,cap
2017-11-30,EU,1,S3,0.03,1.03,0.009000000000000001,cap
2017-11-30,EU,1,S4,0.04,1.04,0.001,cap
2017-11-30,EU,1,S5,0.05,1.05,0.0003,cap
2017-12-29,EU,1,S2,0.02,1.02,0.0863,cap
2017-12-29,EU,1,S3,0.03,1.03,0.0098,cap
2017-12-29,EU,1,S4,0.04,1.04,0.0014000000000000002,cap
2017-12-29,EU,1,S5,0.05,1.05,0.0003,cap
2018-01-31,EU,1,S2,0.02,1.02,0.091,cap
2018-01-31,EU,1,S3,0.03,1.03,0.008,cap
2018-01-31,EU,1,S4,0.04,1.04,0.001,cap
2018-01-31,EU,1,S5,0.05,1.05,0.0,cap
